timestamp,open,high,low,close,volume
2015-08-21,97.5600,98.1100,90.6400,90.6800,21250561
2015-08-14,98.3700,99.1800,95.2700,97.8900,15843405
2015-08-07,97.7400,98.7300,96.3100,97.7700,16497753
2015-07-31,95.4700,98.8200,93.0000,97.4000,30850873
2015-07-24,96.5600,97.7600,94.8650,95.8300,23964349
2015-07-17,95.3700,96.2600,94.4550,96.0800,16399396
2015-07-10,93.4000,95.0000,92.1300,94.6200,17976135
2015-07-02,93.6800,94.9500,92.4100,94.2400,15948624
2015-06-26,95.5900,96.1500,93.9000,94.5100,17583867
2015-06-19,92.9300,96.3100,92.1500,94.8100,17857038
2015-06-12,92.3900,95.1300,91.2950,93.7700,14845537
2015-06-05,92.4000,94.0600,91.4400,92.6200,15045557
2015-05-29,92.6000,92.9600,91.5500,92.2600,10903040
2015-05-22,92.9000,94.1000,91.8300,92.6900,15602171
2015-05-15,93.4800,94.5000,91.5800,93.2200,20237068
2015-05-08,91.4900,94.3300,89.9600,93.5100,26103236
2015-05-01,90.9300,93.5900,89.3100,91.2500,31133013
2015-04-24,87.2200,92.4300,87.0100,90.7200,25903379
2015-04-17,88.6300,89.5700,86.5900,86.9300,16968131
2015-04-10,86.3500,89.7000,86.2200,88.5700,19663057
2015-04-02,87.6400,88.2900,85.3700,87.0300,18802023
2015-03-27,89.9400,90.6500,86.5610,87.2500,20327740
2015-03-20,88.5000,90.3600,87.2200,89.8200,19458725
2015-03-13,90.5200,91.4400,86.8500,87.7500,30294782
2015-03-06,89.5600,92.9500,89.5000,90.7900,23360637
2015-02-27,90.9200,93.0000,89.9400,90.1300,26348558
2015-02-20,87.9300,90.9371,86.8500,90.7900,19604838
2015-02-13,83.9700,87.9900,83.6100,87.1400,25008983
2015-02-06,81.7100,85.9100,80.5800,84.1600,34957595
2015-01-30,84.3000,84.8000,79.8200,82.0300,35589693
2015-01-23,84.3900,84.8900,82.5000,84.3900,16946544
2015-01-16,84.4100,85.2400,81.8300,83.8000,22433255
2015-01-09,85.2900,86.0000,81.8000,84.4400,29690039
2015-01-02,87.6400,88.4900,84.9200,85.6800,12237466
2014-12-26,86.7500,88.3000,86.2100,87.7700,8040323
2014-12-19,85.1400,87.2900,82.0500,86.4400,31040114
2014-12-12,89.0400,89.5580,84.1100,84.1300,22224682
2014-12-05,86.5600,89.8700,86.3500,89.0800,23802339
2014-11-28,84.8200,87.8900,84.6500,87.2900,15331097
2014-11-21,83.8000,85.8750,83.1700,84.7200,17433618
2014-11-14,84.7200,85.1200,83.3300,84.0500,15646701
2014-11-07,83.8200,86.4000,82.7000,84.8000,30709663
2014-10-31,74.0000,84.8300,73.7600,83.7500,42573361
2014-10-24,71.2100,74.6600,71.1400,74.0000,18972023
2014-10-17,70.5900,72.1600,69.6400,71.5600,41131366
2014-10-10,74.6200,74.7800,70.5000,70.5000,26523479
2014-10-03,74.1500,75.3100,72.5900,74.3300,30836107
2014-09-26,77.2600,77.3600,74.5000,75.0600,19659527
2014-09-19,75.1900,78.3700,74.7801,77.2800,28742100
2014-09-12,76.5900,76.9300,74.9300,75.4700,20090900
2014-09-05,75.9300,76.9300,75.4400,76.8600,12651100
2014-08-29,76.1000,77.8500,75.6600,75.8100,15439300
2014-08-22,75.6900,77.1200,75.6860,76.4800,15391400
2014-08-15,75.5400,76.6100,74.9300,75.2100,16451900
2014-08-08,75.4000,75.8500,73.7500,75.1700,16810845
2014-08-01,75.7000,76.6100,73.6500,74.9800,21498251
2014-07-25,77.1100,78.3900,75.2150,75.7500,21114100
2014-07-18,76.4400,79.2200,76.0400,77.5000,25670100
2014-07-11,76.4400,76.6700,74.7500,75.8300,16908700
2014-07-03,73.2400,76.9000,73.0600,76.6300,18255000
2014-06-27,73.5900,74.7900,72.4500,73.4000,31189800
2014-06-20,75.6000,75.7800,73.4800,73.8100,28499300
2014-06-13,77.3200,77.5600,75.1300,75.9400,17354800
2014-06-06,76.7700,77.8768,75.8212,77.4700,14254400
2014-05-30,76.8800,77.8900,76.3500,76.4500,16710400
2014-05-23,73.4700,76.6700,73.4100,76.4500,19560800
2014-05-16,74.6900,75.4300,72.5600,73.7500,16845000
2014-05-09,73.2100,75.4700,72.9500,74.3800,21082700
2014-05-02,70.8000,76.7100,70.2169,73.7800,36961600
2014-04-25,74.2500,74.7700,70.6000,70.6600,30947200
2014-04-17,69.7900,74.8200,69.6000,74.1300,30458100
2014-04-11,71.6600,74.3200,68.6800,68.6800,43557300
2014-04-04,73.8600,75.5499,71.7100,72.1800,26641200
2014-03-28,76.4800,77.7700,72.3500,73.2200,36491200
2014-03-21,76.7500,79.8300,75.9000,75.9900,34639200
2014-03-14,77.8000,78.7700,76.2300,76.3400,24267100
2014-03-07,76.5300,78.8800,75.6500,77.9400,24414500
2014-02-28,75.5700,78.6690,75.5200,77.7200,33663100
2014-02-21,78.4600,78.4900,74.8500,75.7000,27107400
2014-02-14,76.6600,77.6600,75.1300,77.3900,24627900
2014-02-07,76.0500,76.9300,72.1100,76.3100,44216500
2014-01-31,78.9500,80.5500,71.7500,75.6800,61306000
2014-01-24,823.0200,826.5600,78.5000,78.5100,17781580
2014-01-17,835.4600,837.9999,804.1400,818.4200,4926800
2014-01-10,831.9600,847.4800,824.6601,834.7600,3682900
2014-01-03,830.1200,839.3800,826.0000,830.8100,2747900
2013-12-27,825.0600,828.3390,811.0500,827.8700,2464400
2013-12-20,793.0000,823.2080,788.6300,817.0500,5021600
2013-12-13,762.9000,801.6290,758.0000,787.9700,5287900
2013-12-06,760.8100,763.7500,744.0600,758.4700,2036700
2013-11-29,759.1700,765.1500,752.4000,760.8100,1449300
2013-11-22,753.7200,759.7000,743.4500,754.4500,2063000
2013-11-15,734.1100,753.6000,731.5310,752.2600,2165800
2013-11-08,738.3300,739.8200,719.6300,734.4700,2483800
2013-11-01,724.0300,739.2400,707.3900,737.4800,3315300
2013-10-25,717.0200,732.4500,707.0100,723.7800,2217900
2013-10-18,679.4200,716.3900,674.3000,715.1900,2957300
2013-10-11,667.7800,685.5350,647.4401,684.1800,2949500
2013-10-04,677.6600,679.5799,664.0500,673.3300,2273900
2013-09-27,685.3600,691.6600,671.7400,681.8500,2689900
2013-09-20,673.8000,695.0100,668.6500,685.7400,2830800
2013-09-13,638.0100,672.3000,635.5300,666.4100,3782700
2013-09-06,612.0000,639.7400,610.4900,636.6200,2510400
2013-08-30,625.7500,625.7500,603.5900,606.0800,2888900
2013-08-23,619.1500,627.5900,616.8600,626.1100,2471100
2013-08-16,639.6100,639.6100,615.6350,618.2100,2259100
2013-08-09,641.2200,656.9800,637.6800,637.9600,2840200
2013-08-02,598.8700,649.6500,567.0200,645.5700,8640500
2013-07-26,594.3400,604.8500,589.6500,598.1500,2888800
2013-07-19,599.2400,600.9500,582.9500,593.3300,2992800
2013-07-12,597.1800,602.7400,587.3800,598.8600,2745400
2013-07-05,578.6100,595.0300,577.5500,595.0300,2203800
2013-06-28,563.3700,577.4300,557.4800,574.5000,3942000
2013-06-21,574.0700,591.8899,568.8800,573.2900,4179700
2013-06-14,567.6000,575.5400,557.0600,571.1600,2910000
2013-06-07,571.3400,576.8999,557.1000,566.2500,2926500
2013-05-31,580.0000,585.2700,569.6100,570.2500,1810800
2013-05-24,583.1400,589.0000,563.3200,571.4600,2438200
2013-05-17,553.0000,585.0000,553.0000,584.7800,2721500
2013-05-10,553.6000,557.5400,533.7950,555.1300,2384400
2013-05-03,537.4800,557.6600,535.3500,553.5500,3931700
2013-04-26,522.0500,539.0000,518.7900,535.3300,1896000
2013-04-19,530.2300,533.8500,518.5601,521.9600,2862500
